id,label,community
0,Reliable,13
1,Reliable,13
2,Misinformation,11
3,Reliable,13
4,Reliable,13
5,Reliable,28
6,Reliable,28
7,Misinformation,1
8,Misinformation,1
9,Misinformation,5
10,Reliable,28
11,Misinformation,13
12,Reliable,25
13,Reliable,13
14,Reliable,28
15,Reliable,30
16,Misinformation,1
17,Reliable,13
18,Reliable,25
19,Misinformation,5
20,Misinformation,28
21,Reliable,10
22,Misinformation,10
23,Reliable,25
24,Reliable,11
25,Misinformation,5
26,Misinformation,25
27,Reliable,13
28,Reliable,13
29,Reliable,28
30,Misinformation,1
31,Misinformation,1
32,Reliable,28
33,Misinformation,25
34,Misinformation,11
35,Misinformation,11
36,Reliable,13
37,Misinformation,5
38,Reliable,13
39,Misinformation,1
40,Reliable,28
41,Misinformation,5
42,Reliable,3
43,Reliable,10
44,Reliable,13
45,Reliable,26
46,Reliable,21
47,Reliable,3
48,Reliable,28
49,Misinformation,25
50,Reliable,28
51,Reliable,26
52,Misinformation,3
53,Reliable,21
54,Misinformation,11
55,Misinformation,1
56,Misinformation,28
57,Misinformation,11
58,Reliable,10
59,Misinformation,28
60,Reliable,30
61,Reliable,28
62,Misinformation,10
63,Reliable,25
64,Misinformation,11
65,Misinformation,11
66,Reliable,3
67,Misinformation,28
68,Reliable,11
69,Misinformation,25
70,Reliable,28
71,Reliable,30
72,Reliable,13
73,Reliable,26
74,Misinformation,5
75,Misinformation,5
76,Reliable,11
77,Misinformation,5
78,Reliable,13
79,Misinformation,11
80,Reliable,26
81,Misinformation,28
82,Reliable,13
83,Misinformation,5
84,Misinformation,11
85,Reliable,26
86,Reliable,13
87,Reliable,26
88,Reliable,13
89,Reliable,26
90,Misinformation,11
91,Reliable,13
92,Misinformation,5
93,Reliable,21
94,Reliable,25
95,Reliable,26
96,Reliable,13
97,Reliable,26
98,Misinformation,11
99,Reliable,26
100,Misinformation,5
101,Misinformation,26
102,Misinformation,5
103,Reliable,21
104,Reliable,28
105,Misinformation,1
106,Reliable,30
107,Reliable,28
108,Misinformation,25
109,Reliable,28
110,Misinformation,5
111,Misinformation,11
112,Reliable,26
113,Reliable,11
114,Reliable,10
115,Reliable,13
116,Reliable,13
117,Misinformation,11
118,Misinformation,25
119,Reliable,28
120,Reliable,28
121,Reliable,28
122,Reliable,13
123,Reliable,13
124,Reliable,11
125,Misinformation,25
126,Reliable,26
127,Reliable,11
128,Reliable,13
129,Reliable,13
130,Reliable,3
131,Reliable,26
132,Misinformation,10
133,Misinformation,11
134,Misinformation,10
135,Misinformation,25
136,Misinformation,5
137,Reliable,13
138,Reliable,28
139,Misinformation,5
140,Reliable,28
141,Misinformation,30
142,Misinformation,11
143,Reliable,13
144,Misinformation,28
145,Misinformation,28
146,Reliable,11
147,Reliable,28
148,Misinformation,11
149,Reliable,25
150,Reliable,28
151,Misinformation,25
152,Reliable,13
153,Reliable,26
154,Misinformation,5
155,Misinformation,11
156,Reliable,26
157,Misinformation,1
158,Misinformation,11
159,Misinformation,28
160,Reliable,28
161,Misinformation,29
162,Reliable,21
163,Reliable,25
164,Reliable,25
165,Misinformation,25
166,Reliable,13
167,Reliable,26
168,Reliable,5
169,Reliable,28
170,Misinformation,28
171,Misinformation,11
172,Reliable,26
173,Misinformation,10
174,Reliable,28
175,Reliable,13
176,Reliable,25
177,Misinformation,5
178,Misinformation,5
179,Reliable,28
180,Reliable,30
181,Reliable,13
182,Misinformation,29
183,Reliable,25
184,Reliable,28
185,Reliable,28
186,Reliable,28
187,Reliable,5
188,Misinformation,28
189,Reliable,13
190,Misinformation,3
191,Reliable,28
192,Reliable,26
193,Reliable,13
194,Reliable,28
195,Reliable,28
196,Misinformation,5
197,Reliable,26
198,Misinformation,11
199,Misinformation,25
200,Reliable,26
201,Reliable,26
202,Reliable,13
203,Reliable,10
204,Misinformation,30
205,Reliable,13
206,Reliable,3
207,Reliable,10
208,Misinformation,3
209,Reliable,28
210,Misinformation,10
211,Reliable,13
212,Misinformation,11
213,Misinformation,11
214,Reliable,13
215,Reliable,5
216,Reliable,3
217,Misinformation,28
218,Reliable,13
219,Reliable,28
220,Misinformation,28
221,Reliable,13
222,Reliable,28
223,Misinformation,5
224,Reliable,26
225,Misinformation,1
226,Reliable,5
227,Reliable,28
228,Reliable,13
229,Misinformation,11
230,Reliable,26
231,Reliable,13
232,Reliable,5
233,Reliable,28
234,Misinformation,5
235,Reliable,3
236,Reliable,28
237,Reliable,26
238,Reliable,30
239,Misinformation,1
240,Reliable,13
241,Reliable,13
242,Reliable,13
243,Misinformation,28
244,Reliable,28
245,Misinformation,29
246,Reliable,13
247,Misinformation,28
248,Misinformation,25
249,Misinformation,1
250,Reliable,28
251,Misinformation,1
252,Misinformation,25
253,Reliable,26
254,Misinformation,5
255,Reliable,13
256,Misinformation,28
257,Reliable,26
258,Reliable,13
259,Reliable,13
260,Misinformation,10
261,Reliable,13
262,Misinformation,5
263,Misinformation,11
264,Reliable,0
265,Reliable,28
266,Reliable,11
267,Misinformation,25
268,Misinformation,11
269,Reliable,28
270,Misinformation,5
271,Reliable,28
272,Misinformation,11
273,Reliable,28
274,Reliable,28
275,Reliable,13
276,Misinformation,1
277,Misinformation,25
278,Misinformation,5
279,Reliable,28
280,Reliable,26
281,Reliable,25
282,Misinformation,30
283,Misinformation,5
284,Misinformation,28
285,Misinformation,5
286,Misinformation,26
287,Reliable,25
288,Misinformation,10
289,Reliable,13
290,Reliable,26
291,Misinformation,10
292,Reliable,3
293,Reliable,28
294,Reliable,26
295,Reliable,26
296,Misinformation,11
297,Reliable,28
298,Reliable,13
299,Misinformation,11
300,Reliable,30
301,Reliable,3
302,Reliable,13
303,Reliable,28
304,Misinformation,10
305,Reliable,26
306,Reliable,28
307,Misinformation,1
308,Misinformation,25
309,Reliable,28
310,Reliable,13
311,Misinformation,1
312,Reliable,26
313,Reliable,3
314,Misinformation,11
315,Reliable,13
316,Reliable,28
317,Misinformation,11
318,Reliable,13
319,Reliable,26
320,Reliable,13
321,Reliable,26
322,Misinformation,25
323,Misinformation,11
324,Misinformation,28
325,Misinformation,28
326,Reliable,28
327,Misinformation,5
328,Reliable,10
329,Reliable,26
330,Misinformation,11
331,Reliable,21
332,Reliable,28
333,Misinformation,1
334,Reliable,28
335,Reliable,26
336,Misinformation,29
337,Reliable,28
338,Misinformation,5
339,Reliable,13
340,Misinformation,28
341,Reliable,30
342,Misinformation,10
343,Reliable,26
344,Reliable,28
345,Misinformation,21
346,Misinformation,28
347,Misinformation,25
348,Reliable,28
349,Misinformation,28
350,Reliable,3
351,Misinformation,5
352,Reliable,13
353,Reliable,21
354,Misinformation,28
355,Misinformation,1
356,Reliable,11
357,Misinformation,11
358,Misinformation,28
359,Misinformation,10
360,Reliable,13
361,Reliable,11
362,Misinformation,26
363,Misinformation,10
364,Reliable,11
365,Reliable,28
366,Misinformation,1
367,Reliable,28
368,Misinformation,5
369,Misinformation,11
370,Reliable,11
371,Reliable,26
