text,true_label,predicted_label,confidence,analysis_category,text_length
there is no one in new zealand receiving hospital-level care for covid-19.,Factual,Misinformation,0.92246634,Incorrect - High Confidence,12
rt : urgently needed at airports - ❗ thaali bajao ❗ 👏 bajao ❗ coronil ❗ bhabhi ji papad ❗ petal showers ❗ lights off ❗ corona mat…,Misinformation,Factual,0.9533177,Incorrect - High Confidence,28
expired but sterilized n95 masks get the job done.,Factual,Misinformation,0.93632364,Incorrect - High Confidence,9
"🗣️ want to get the team together? we have covid-safe meeting rooms and plenty of #coworking space, free wifi and coffee. conveniently located off the m40 in #bicester, close to train, road and bus links",Misinformation,Factual,0.9280136,Incorrect - High Confidence,35
"dr. anjali bharati, an emergency medicine physician at northwell health in new york city, said on “fox & friends” on thursday that the volume of emergency cases related to the novel coronavirus has “definitely gone down” this week, however, the severity of the symptoms has “really kicked up a notch.”",Misinformation,Factual,0.9242525,Incorrect - High Confidence,50
"jennifer kates, the director of global health and hiv policy at the kaiser family foundation, said in a phone interview, “there could be other costs incurred.” visits to the doctor’s office and the emergency room can cost patients money, she said, noting that some high-deductible insurance plans could effectively charge patients who go to the er $1,000 or more",Misinformation,Factual,0.91519415,Incorrect - High Confidence,59
action shot pipetting 🧫🧬😂,Factual,Misinformation,0.9450106,Incorrect - High Confidence,4
help scientists discover whether rinsing your nose and gargling with salt water could help reduce covid-19 symptoms &amp; reduce transmission. if you know any adults with covid-19 symptoms in the uk please tell them about this study:,Misinformation,Factual,0.9835882,Incorrect - High Confidence,37
people are drinking sanitizer to get an alcohol high a dangerous trend.,Factual,Misinformation,0.9196542,Incorrect - High Confidence,12
"dr. lieber, a nanoscientist and biochemist of harvard university was indeed arrested by the us doj for allegedly making a false statement about his involvement with the chinese government",Factual,Misinformation,0.9468004,Incorrect - High Confidence,29
"the ethiopian airlines flight from italy this evening to addis ababa airport. most of the passengers are infected with the virus, and there is no strength except in god",Factual,Misinformation,0.9065363,Incorrect - High Confidence,29
"that 260k is the a mix of covid-19 (likely most), plus missed care, suicide, and some “savings” from decreased mvcs and other trauma. as we move onto the next 1-2 years, we may begin to see costs from the missed vaccine doses: esp hib and prevnar in the under 12mo age group.",Misinformation,Factual,0.9210285,Incorrect - High Confidence,52
huatai and american update on current ncov maritime situation in china -,Misinformation,Factual,0.9264543,Incorrect - High Confidence,12
"🤝 as business continue to adapt their services in the wake of covid-19, the swa hand sanitiser portal is available for sourcing #handsanitiser and ethanol for producing sanitiser. 🖊️ complete your details and find suppliers here:",Misinformation,Factual,0.9883796,Incorrect - High Confidence,36
the most up to date data in victoria for 2020 was consistent with that for 2019 despite concerns due to #covid19 however the numbers remain troubling according to vic's state coroner and don't mitigate the fact that there's been an increase in calls to mental health services,Misinformation,Factual,0.9967298,Incorrect - High Confidence,47
honduras's first confirmed case traveled to taiwan earlier which means there is a severe community transmission in taiwan.,Misinformation,Factual,0.9563642,Incorrect - High Confidence,18
fda official says if a covid vaccine is approved before it’s ready -- he’s outta there.,Factual,Misinformation,0.9654467,Incorrect - High Confidence,16
"kelly alexander says ""most"" nc legislators are in the ""high risk age group"" for coronavirus",Misinformation,Factual,0.9213947,Incorrect - High Confidence,15
"two germans are infected with the virus, they didn’t went to wuhan but had someone over in there compagnie from china #wuhancoronavirus #germany #coronavirus",Factual,Misinformation,0.9605125,Incorrect - High Confidence,24
"people arriving at #lax from china are going thru health screenings, a result of the #coronavirusoutbreak. la health officials say 40-60 travelers per day arrive here from wuhan, china. a sick traveler on a flight from mexico city was taken to the hospital last night.",Misinformation,Factual,0.983729,Incorrect - High Confidence,45
#evin is presently being implemented by the central government in 12 states. #immunizationforall #vaccineswork #fullyimmunizeeverychild,Factual,Misinformation,0.92973465,Incorrect - High Confidence,15
last year a mysterious shipment was caught smuggling coronavirus from canada. it was traced to chinese agents working at a canadian lab. subsequent investigation by greatgameindia linked the agents to chinese biological warfare program from where the virus is suspected to have leaked causing the wuhan coronavirus outbreak,Factual,Misinformation,0.92761624,Incorrect - High Confidence,48
#fauci as head of #nih in 2005 publishes this: chloroquine is a potent inhibitor of sars coronavirus infection and spread,Misinformation,Factual,0.9518359,Incorrect - High Confidence,20
fatality rates among those infected by covid-19 range up to 0.054% in those aged 70 and over.,Misinformation,Factual,0.94433254,Incorrect - High Confidence,17
countries with more pcr testing have more deaths.,Misinformation,Factual,0.98137486,Incorrect - High Confidence,8
uk is testing more people for covid-19 than any country other than china and italy,Factual,Misinformation,0.9471437,Incorrect - High Confidence,15
"""disturbing footage shows snakes, bats and possums sold openly at a wuhan market""",Factual,Misinformation,0.9486821,Incorrect - High Confidence,13
a video shows first islamic call to prayer in spain in 500 years,Factual,Misinformation,0.91121906,Incorrect - High Confidence,13
"growing evidence that skin rashes are a key feature of covid, present in around 9% of app users testing positive. in children they may be even more predictive, with a 1/6 of children experiencing a rash &amp; no other symptoms",Misinformation,Factual,0.9930857,Incorrect - High Confidence,40
#modiji_postponejeeneet it is highly risky for us to give exam in such a critical condition of covid19. sops. are not followed because there are too many students and staff . we are requested plz postpone jee neet or other exam until the situation comes to normal,Misinformation,Factual,0.91971296,Incorrect - High Confidence,46
